User_id,first_seen,last_seen,total_events,is_converter,purchases,first_purchase,last_purchase,total_quantity,total_revenue,median_rate,days_active,events_per_day_active,has_purchased_ever,recency_days,frequency_purchases,events_before_first_purchase,days_to_first_purchase,events_in_7d_before_first_purchase,events_in_14d_before_first_purchase,events_in_30d_before_first_purchase,R_quartile,F_quartile,RF_segment
51616505593,2019-02-10 19:23:00,2019-02-10 19:42:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51624877138,2019-06-19 14:08:00,2019-10-14 13:15:00,10,1,1.0,2019-06-19 14:25:00,2019-06-19 14:25:00,2.0,4000.0,2000.0,116,0.08620689655172414,1,186.0,1.0,5,0.0,5.0,5.0,5.0,1,1,11
51626168971,2019-01-10 19:00:00,2019-10-21 17:14:00,12,1,1.0,2019-10-21 17:14:00,2019-10-21 17:14:00,1.0,45000.0,45000.0,283,0.04240282685512368,1,62.0,1.0,11,283.0,7.0,7.0,7.0,3,1,31
51629142904,2019-01-10 15:00:00,2019-09-03 18:10:00,16,1,2.0,2019-01-10 21:08:00,2019-09-03 18:10:00,7.0,5500.0,1150.0,236,0.06779661016949153,1,109.0,2.0,7,0.0,7.0,7.0,7.0,2,2,22
51632985791,2019-09-10 11:04:00,2019-09-10 11:14:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51633993644,2019-10-17 23:22:00,2019-10-17 23:34:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51637676508,2019-03-11 11:09:00,2019-03-11 14:34:00,10,1,1.0,2019-03-11 14:34:00,2019-03-11 14:34:00,1.0,15000.0,15000.0,0,10.0,1,286.0,1.0,9,0.0,9.0,9.0,9.0,1,1,11
51639618110,2019-07-10 17:18:00,2019-07-10 17:23:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51645696004,2019-07-10 11:24:00,2019-10-21 18:09:00,14,1,1.0,2019-10-21 18:09:00,2019-10-21 18:09:00,3.0,3000.0,1000.0,103,0.13592233009708737,1,61.0,1.0,13,103.0,9.0,9.0,9.0,3,1,31
51646469395,2019-12-11 19:14:00,2019-12-11 19:14:00,1,0,,,,,,,0,1.0,0,,0.0,1,,,,,,1,
51649462163,2019-10-17 12:00:00,2019-10-17 12:34:00,4,0,,,,,,,0,4.0,0,,0.0,4,,,,,,1,
51658664493,2019-10-24 22:10:00,2019-10-24 22:43:00,6,0,,,,,,,0,6.0,0,,0.0,6,,,,,,1,
51660154036,2019-10-22 13:45:00,2019-10-22 13:45:00,1,0,,,,,,,0,1.0,0,,0.0,1,,,,,,1,
51663160423,2019-10-20 14:25:00,2019-10-30 14:43:00,3,0,,,,,,,10,0.3,0,,0.0,3,,,,,,1,
51666541383,2019-03-11 14:00:00,2019-03-11 14:10:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51666673751,2019-05-11 14:18:00,2019-05-11 14:46:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51672425707,2019-02-11 14:41:00,2019-02-11 14:59:00,3,0,,,,,,,0,3.0,0,,0.0,3,,,,,,1,
51676463689,2019-05-27 11:12:00,2019-10-10 17:47:00,16,1,2.0,2019-05-27 11:45:00,2019-10-10 17:47:00,13.0,5000.0,600.0,136,0.11764705882352941,1,73.0,2.0,6,0.0,6.0,6.0,6.0,2,2,22
