User_id,is_converter,has_purchased_ever,first_seen,last_seen,R_quartile,F_quartile,RF_segment
52304977219,1,1,2019-10-15 13:10:00,2019-10-15 13:28:00,3,1,31
52306036802,0,0,2019-10-21 21:45:00,2019-10-21 21:51:00,,1,
52308484453,0,0,2019-11-11 16:51:00,2019-11-11 16:51:00,,1,
52313781035,1,1,2019-10-13 19:00:00,2019-10-13 19:08:00,3,1,31
52316857999,0,0,2019-10-31 17:25:00,2019-10-31 17:44:00,,1,
52320144114,1,1,2019-03-11 13:23:00,2019-03-11 13:30:00,1,1,11
52322653716,1,1,2019-10-14 10:00:00,2019-10-19 12:18:00,3,1,31
52328153664,0,0,2019-10-31 15:23:00,2019-10-31 15:25:00,,1,
52331257951,0,0,2019-01-11 10:31:00,2019-01-11 10:53:00,,1,
52331458145,1,1,2019-10-17 15:23:00,2019-12-10 19:17:00,3,1,31
52335257008,1,1,2019-05-11 14:59:00,2019-05-11 16:08:00,1,1,11
52340757893,0,0,2019-03-10 23:15:00,2019-06-10 09:54:00,,1,
52340778300,1,1,2019-10-31 19:14:00,2019-10-31 19:17:00,3,1,31
52341868479,0,0,2019-02-11 10:45:00,2019-02-11 10:45:00,,1,
52387379385,1,1,2019-12-11 11:21:00,2019-12-11 11:29:00,4,1,41
52412520196,0,0,2019-10-11 14:56:00,2019-10-11 15:11:00,,1,
52495552005,0,0,2019-11-11 16:32:00,2019-11-11 17:01:00,,1,
52627455489,1,1,2019-11-11 19:00:00,2019-11-11 19:12:00,4,1,41
52662975741,0,0,2019-06-11 22:25:00,2019-06-11 22:45:00,,1,
52713090310,1,1,2019-06-11 19:18:00,2019-06-11 19:38:00,1,1,11
52730728074,0,0,2019-06-11 17:00:00,2019-06-11 17:39:00,,1,
52732772360,1,1,2019-06-11 13:23:00,2019-06-11 13:53:00,1,1,11
52752311791,1,1,2019-08-11 22:11:00,2019-08-11 22:51:00,2,1,21
52758304645,0,0,2019-12-11 12:32:00,2019-12-11 12:48:00,,1,
52766692567,0,0,2019-07-11 20:15:00,2019-07-11 20:45:00,,1,
52769802843,1,1,2019-09-11 22:29:00,2019-09-12 22:59:00,2,2,22
52787855576,1,1,2019-09-21 11:23:00,2019-11-10 15:10:00,3,1,31
52805483647,0,0,2019-08-11 19:34:00,2019-08-11 19:57:00,,1,
52842945535,1,1,2019-08-11 18:15:00,2019-08-11 18:54:00,2,1,21
52847259973,0,0,2019-10-11 15:16:00,2019-10-11 15:25:00,,1,
52861333447,0,0,2019-12-11 13:56:00,2019-12-11 14:12:00,,1,
52904721877,1,1,2019-09-11 14:56:00,2019-09-11 15:15:00,2,1,21
52916607616,0,0,2019-07-11 19:46:00,2019-07-11 20:05:00,,1,
52942481269,0,0,2019-09-11 20:30:00,2019-09-11 20:40:00,,1,
53066213242,0,0,2019-05-11 19:06:00,2019-05-11 19:20:00,,1,
53156872654,1,1,2019-10-11 14:17:00,2019-10-11 14:27:00,2,1,21
53209756433,1,1,2019-11-07 21:01:00,2019-12-07 21:52:00,4,2,42
53209947945,1,1,2019-05-11 18:25:00,2019-05-11 18:53:00,1,1,11
53277489525,0,0,2019-09-11 18:34:00,2019-09-11 18:49:00,,1,
53285582167,0,0,2019-09-11 23:20:00,2019-09-11 23:30:00,,1,
53299207031,1,1,2019-09-11 19:47:00,2019-09-11 20:01:00,2,1,21
53330125074,0,0,2019-11-11 16:07:00,2019-11-11 16:38:00,,1,
53446342803,1,1,2019-06-11 22:55:00,2019-06-11 23:34:00,1,1,11
53561530361,0,0,2019-09-11 15:20:00,2019-09-11 15:35:00,,1,
53572384601,1,1,2019-11-11 21:54:00,2019-11-11 22:06:00,4,1,41
53593337921,1,1,2019-10-11 22:56:00,2019-10-11 23:01:00,3,1,31
53607868849,0,0,2019-07-11 12:52:00,2019-07-11 13:31:00,,1,
53617353246,1,1,2019-11-11 16:01:00,2019-11-11 16:15:00,4,1,41
53618233709,0,0,2019-11-11 15:01:00,2019-11-11 15:38:00,,1,
53649822812,1,1,2019-05-08 12:12:00,2019-11-14 11:07:00,4,2,42
53652969521,1,1,2019-06-11 14:03:00,2019-06-11 15:02:00,1,1,11
53654005940,1,1,2019-09-11 17:55:00,2019-09-11 18:15:00,2,1,21
53660108929,0,0,2019-12-11 11:52:00,2019-12-11 12:06:00,,1,
53713888319,1,1,2019-10-11 20:55:00,2019-10-11 21:15:00,3,1,31
53765548956,0,0,2019-12-11 11:37:00,2019-12-11 11:52:00,,1,
53966220604,1,1,2019-08-16 18:35:00,2019-11-10 19:33:00,4,2,42
53988566659,0,0,2019-11-11 19:49:00,2019-11-11 19:57:00,,1,
54068495712,1,1,2019-11-11 21:12:00,2019-11-11 21:17:00,4,1,41
54074421036,0,0,2019-06-11 15:12:00,2019-06-11 15:41:00,,1,
54081180520,1,1,2019-09-11 20:06:00,2019-09-11 20:26:00,2,1,21
54144005834,0,0,2019-10-11 19:47:00,2019-10-11 20:12:00,,1,
54160504190,1,1,2019-06-11 19:48:00,2019-06-11 20:17:00,1,1,11
54168626875,0,0,2019-07-11 09:45:00,2019-07-11 10:04:00,,1,
54187466030,0,0,2019-10-11 21:44:00,2019-10-11 21:53:00,,1,
54211903284,0,0,2019-05-11 16:22:00,2019-05-11 17:03:00,,1,
54340210344,1,1,2019-07-11 20:55:00,2019-07-11 21:14:00,2,1,21
54423685958,0,0,2019-09-11 17:50:00,2019-09-11 17:50:00,,1,
54442238798,1,1,2019-10-11 17:46:00,2019-10-11 18:05:00,3,1,31
54447852002,1,1,2019-06-28 18:00:00,2019-10-11 22:33:00,3,2,32
